2024-06-28 12:11:01; INFO; Loopback Stream; 6416; 21288] CallLibrary Start
2024-06-28 12:11:01; INFO; Loopback Stream; 6416; 21288] CallLibrary End
2024-06-28 12:11:31; INFO; Loopback Stream; 6416; 26560] CallLibrary Start
2024-06-28 12:11:31; INFO; Loopback Stream; 6416; 26560] CallLibrary End
2024-06-28 12:12:01; INFO; Loopback Stream; 6416; 32144] CallLibrary Start
2024-06-28 12:12:01; INFO; Loopback Stream; 6416; 32144] CallLibrary End
2024-06-28 12:12:31; INFO; Loopback Stream; 6416; 27424] CallLibrary Start
2024-06-28 12:12:31; INFO; Loopback Stream; 6416; 27424] CallLibrary End
2024-06-28 12:13:01; INFO; Loopback Stream; 6416; 29148] CallLibrary Start
2024-06-28 12:13:01; INFO; Loopback Stream; 6416; 29148] CallLibrary End
2024-06-28 12:13:31; INFO; Loopback Stream; 6416; 3340] CallLibrary Start
2024-06-28 12:13:31; INFO; Loopback Stream; 6416; 3340] CallLibrary End
2024-06-28 12:14:01; INFO; Loopback Stream; 6416; 20316] CallLibrary Start
2024-06-28 12:14:01; INFO; Loopback Stream; 6416; 20316] CallLibrary End
2024-06-28 12:14:31; INFO; Loopback Stream; 6416; 23084] CallLibrary Start
2024-06-28 12:14:31; INFO; Loopback Stream; 6416; 23084] CallLibrary End
2024-06-28 12:15:01; INFO; Loopback Stream; 6416; 34236] CallLibrary Start
2024-06-28 12:15:01; INFO; Loopback Stream; 6416; 34236] CallLibrary End
2024-06-28 12:15:31; INFO; Loopback Stream; 6416; 11984] CallLibrary Start
2024-06-28 12:15:31; INFO; Loopback Stream; 6416; 11984] CallLibrary End
2024-06-28 12:16:01; INFO; Loopback Stream; 6416; 23036] CallLibrary Start
2024-06-28 12:16:01; INFO; Loopback Stream; 6416; 23036] CallLibrary End
2024-06-28 12:16:31; INFO; Loopback Stream; 6416; 15604] CallLibrary Start
2024-06-28 12:16:31; INFO; Loopback Stream; 6416; 15604] CallLibrary End
2024-06-28 12:17:01; INFO; Loopback Stream; 6416; 864] CallLibrary Start
2024-06-28 12:17:01; INFO; Loopback Stream; 6416; 864] CallLibrary End
2024-06-28 12:17:31; INFO; Loopback Stream; 6416; 10520] CallLibrary Start
2024-06-28 12:17:31; INFO; Loopback Stream; 6416; 10520] CallLibrary End
2024-06-28 12:18:01; INFO; Loopback Stream; 6416; 13472] CallLibrary Start
2024-06-28 12:18:01; INFO; Loopback Stream; 6416; 13472] CallLibrary End
2024-06-28 12:18:31; INFO; Loopback Stream; 6416; 31220] CallLibrary Start
2024-06-28 12:18:31; INFO; Loopback Stream; 6416; 31220] CallLibrary End
2024-06-28 12:19:01; INFO; Loopback Stream; 6416; 7148] CallLibrary Start
2024-06-28 12:19:01; INFO; Loopback Stream; 6416; 7148] CallLibrary End
2024-06-28 12:19:31; INFO; Loopback Stream; 6416; 15520] CallLibrary Start
2024-06-28 12:19:31; INFO; Loopback Stream; 6416; 15520] CallLibrary End
2024-06-28 12:20:01; INFO; Loopback Stream; 6416; 1768] CallLibrary Start
2024-06-28 12:20:01; INFO; Loopback Stream; 6416; 1768] CallLibrary End
2024-06-28 12:20:31; INFO; Loopback Stream; 6416; 19188] CallLibrary Start
2024-06-28 12:20:31; INFO; Loopback Stream; 6416; 19188] CallLibrary End
2024-06-28 12:21:01; INFO; Loopback Stream; 6416; 27004] CallLibrary Start
2024-06-28 12:21:01; INFO; Loopback Stream; 6416; 27004] CallLibrary End
2024-06-28 12:21:31; INFO; Loopback Stream; 6416; 12676] CallLibrary Start
2024-06-28 12:21:31; INFO; Loopback Stream; 6416; 12676] CallLibrary End
2024-06-28 12:22:01; INFO; Loopback Stream; 6416; 25464] CallLibrary Start
2024-06-28 12:22:01; INFO; Loopback Stream; 6416; 25464] CallLibrary End
2024-06-28 12:22:31; INFO; Loopback Stream; 6416; 8368] CallLibrary Start
2024-06-28 12:22:31; INFO; Loopback Stream; 6416; 8368] CallLibrary End
2024-06-28 12:23:01; INFO; Loopback Stream; 6416; 2308] CallLibrary Start
2024-06-28 12:23:01; INFO; Loopback Stream; 6416; 2308] CallLibrary End
2024-06-28 12:23:01; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
