2024-07-05 10:18:39; INFO; Loopback Stream; 12252; 21596] CallLibrary Start
2024-07-05 10:18:39; INFO; Loopback Stream; 12252; 21596] CallLibrary End
2024-07-05 10:19:09; INFO; Loopback Stream; 12252; 2032] CallLibrary Start
2024-07-05 10:19:09; INFO; Loopback Stream; 12252; 2032] CallLibrary End
2024-07-05 10:19:38; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-05 10:19:38; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-05 10:19:38; CRITICAL; Utility Plugin; 12252; 12652] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display is dimmed
2024-07-05 10:19:39; INFO; Loopback Stream; 12252; 13044] CallLibrary Start
2024-07-05 10:19:39; INFO; Loopback Stream; 12252; 13044] CallLibrary End
2024-07-05 10:19:52; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-05 10:19:52; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-05 10:19:52; CRITICAL; Utility Plugin; 12252; 12652] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display Off
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] close display, notify bios bitlocker status
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Enter
