2024-06-30 21:13:53; INFO; Loopback Stream; 6416; 31044] CallLibrary Start
2024-06-30 21:13:53; INFO; Loopback Stream; 6416; 31044] CallLibrary End
2024-06-30 21:14:23; INFO; Loopback Stream; 6416; 32760] CallLibrary Start
2024-06-30 21:14:23; INFO; Loopback Stream; 6416; 32760] CallLibrary End
2024-06-30 21:14:53; INFO; Loopback Stream; 6416; 22288] CallLibrary Start
2024-06-30 21:14:53; INFO; Loopback Stream; 6416; 22288] CallLibrary End
2024-06-30 21:14:58; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:14:58; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:15:09; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:15:09; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:15:23; INFO; Loopback Stream; 6416; 17652] CallLibrary Start
2024-06-30 21:15:23; INFO; Loopback Stream; 6416; 17652] CallLibrary End
2024-06-30 21:15:53; INFO; Loopback Stream; 6416; 31172] CallLibrary Start
2024-06-30 21:15:53; INFO; Loopback Stream; 6416; 31172] CallLibrary End
2024-06-30 21:16:09; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:16:09; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:16:23; INFO; Loopback Stream; 6416; 31480] CallLibrary Start
2024-06-30 21:16:23; INFO; Loopback Stream; 6416; 31480] CallLibrary End
2024-06-30 21:16:53; INFO; Loopback Stream; 6416; 31956] CallLibrary Start
2024-06-30 21:16:53; INFO; Loopback Stream; 6416; 31956] CallLibrary End
2024-06-30 21:17:23; INFO; Loopback Stream; 6416; 22360] CallLibrary Start
2024-06-30 21:17:23; INFO; Loopback Stream; 6416; 22360] CallLibrary End
2024-06-30 21:17:28; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:17:28; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:17:28; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:17:28; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:17:53; INFO; Loopback Stream; 6416; 15840] CallLibrary Start
2024-06-30 21:17:53; INFO; Loopback Stream; 6416; 15840] CallLibrary End
2024-06-30 21:17:59; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:17:59; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:18:00; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:18:00; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:18:00; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:18:00; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:18:23; INFO; Loopback Stream; 6416; 6268] CallLibrary Start
2024-06-30 21:18:23; INFO; Loopback Stream; 6416; 6268] CallLibrary End
2024-06-30 21:18:53; INFO; Loopback Stream; 6416; 33472] CallLibrary Start
2024-06-30 21:18:53; INFO; Loopback Stream; 6416; 33472] CallLibrary End
2024-06-30 21:19:23; INFO; Loopback Stream; 6416; 34204] CallLibrary Start
2024-06-30 21:19:23; INFO; Loopback Stream; 6416; 34204] CallLibrary End
2024-06-30 21:19:53; INFO; Loopback Stream; 6416; 2080] CallLibrary Start
2024-06-30 21:19:53; INFO; Loopback Stream; 6416; 2080] CallLibrary End
2024-06-30 21:20:23; INFO; Loopback Stream; 6416; 34184] CallLibrary Start
2024-06-30 21:20:23; INFO; Loopback Stream; 6416; 34184] CallLibrary End
2024-06-30 21:20:53; INFO; Loopback Stream; 6416; 34712] CallLibrary Start
2024-06-30 21:20:53; INFO; Loopback Stream; 6416; 34712] CallLibrary End
2024-06-30 21:21:23; INFO; Loopback Stream; 6416; 28292] CallLibrary Start
2024-06-30 21:21:23; INFO; Loopback Stream; 6416; 28292] CallLibrary End
2024-06-30 21:21:36; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-30 21:21:36; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-30 21:21:53; INFO; Loopback Stream; 6416; 2552] CallLibrary Start
2024-06-30 21:21:53; INFO; Loopback Stream; 6416; 2552] CallLibrary End
2024-06-30 21:22:23; INFO; Loopback Stream; 6416; 31992] CallLibrary Start
2024-06-30 21:22:23; INFO; Loopback Stream; 6416; 31992] CallLibrary End
